#Sent triggers per gain and bias: 50000	and with a frequency [Hz] of: 100000
#Gain	bias	Frequency	correct transmitted H+T		error rate [%]	uncertainty [%]	bad or missed events	error count	missing headers	missing trailers	flipped H/T	event nr errors	tbm missed trigger	unknown errors	event nr resets
0	33	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	33	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	32	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
0	32	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	32	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	31	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
0	31	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	31	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	30	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
0	30	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	30	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	29	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
0	29	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	29	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	28	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
0	28	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	28	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	27	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
0	27	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	27	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	26	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
0	26	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	26	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	25	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
0	25	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	25	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	24	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
0	24	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	24	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	23	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
0	23	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	23	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	22	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
0	22	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	22	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	21	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
0	21	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	21	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	20	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
0	20	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	20	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	19	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
0	19	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	19	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	18	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
0	18	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	18	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	17	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
0	17	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	17	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	16	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
0	16	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	16	B	100000	50000	0	0	0	0	0	0	0	0	0	0	1
0	15	G	100000	50000	0	0	0	0	0	0	0	0	0	0	2
0	15	A	100000	50000	0	0	0	0	0	0	0	0	0	0	1
